timestamp,threshold_b_a,threshold_pnn,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m,bpm,ibi,sdnn,cvnn,rmssd,pnn10,pnn20,pnn30,pnn40,pnn50
2024-07-17 15:09:04.182,0,0.236,3.4301531249518113,200,254667,419952,64849,66857,222442,150148,72885,107171,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:05.030,0,0.236,0.9641527874471162,200,342752,479904,298768,48898,288058,105926,69275,126054,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:06.031,0,0.236,0.788389371234046,200,129585,304208,197991,114835,156094,111894,145926,75542,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:07.027,0,0.236,1.0096500861201985,200,192623,191376,432535,201186,436709,94802,82792,118884,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:08.028,0,0.236,0.5067177899649575,200,213818,867166,254548,78471,128984,220429,421360,82310,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:09.038,0,0.236,0.39746917585983127,200,353490,168481,921518,220532,366275,157381,96281,106108,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:10.031,0,0.236,5.02232697123377,200,354228,663111,47521,191454,238666,203225,98670,82431,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:11.031,0,0.236,0.4030841288321819,200,1143531,303490,375341,60157,151294,79769,141698,103471,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:12.027,0,0.236,2.5972777787833263,200,743075,298988,55249,83883,143497,150467,53029,157806,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:13.044,0,0.236,0.6293090482883088,200,1218290,349981,192821,181390,121344,285690,64876,70373,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:14.027,0,0.236,2.588947198449863,200,369322,652576,123860,261957,320667,61245,65711,268585,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:15.026,0,0.236,0.6939508915614331,200,241915,409530,378998,48098,263006,98207,63979,81170,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:16.018,0,0.236,0.907404935475398,200,814945,729774,232237,96144,210733,128968,61699,86007,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:17.023,0,0.236,0.9134621297529979,200,53099,266339,195140,97037,178253,71226,96756,162704,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:18.019,0,0.236,0.46613276487965805,200,224859,116575,443777,147072,206859,73605,89404,131186,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:19.019,0,0.236,0.2815951406065857,200,111140,133447,858708,52111,241808,160089,198296,62053,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:20.023,0,0.236,2.5098514091110435,200,177101,408198,173833,92965,436295,55330,75353,123887,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:21.021,0,0.236,1.363944877768339,200,718711,99936,233082,55844,317911,270623,57228,104382,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:22.019,0,0.236,0.4969206612291185,200,395464,100801,229270,123374,113929,256625,155614,107897,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:23.019,0,0.236,0.027807460023740533,200,236498,419938,844126,194810,23473,151777,101834,76202,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:24.023,0,0.236,0.1297951508891802,200,287906,233761,528633,307609,68614,204780,150277,92955,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17 15:09:25.025,0,0.236,0.8703820673648957,200,380778,256357,204231,185392,177759,144958,120358,114995,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
