timestamp,beta_l_alpha_l,pnn50,emo,threshold_b_a,threshold_pnn
2024-07-14 22:00:54.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:00:55.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:00:56.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:00:57.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:00:58.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:00:59.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:00.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:01.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:02.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:03.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:04.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:05.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:06.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:07.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:08.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:09.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:10.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:11.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:12.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:13.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:14.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:15.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:16.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:17.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:18.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:19.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:20.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:21.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:22.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:23.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:24.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:25.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:26.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:27.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:28.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:29.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:30.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:31.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:32.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:33.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:34.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:35.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:36.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:37.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:38.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:39.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:40.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:41.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:42.858,0,0.0,Rest,-1.0,-1.0
2024-07-14 22:01:43.858,0,0.0,Rest,-1.0,-1.0
