timestamp,NoRobot,NoChangeMy,NoChangeRobot
2024-07-18 17:40:20.256,1,0,0
2024-07-18 17:40:20.614,0,1,0
2024-07-18 17:40:20.908,0,0,1
2024-07-18 17:40:21.521,1,0,0
2024-07-18 17:40:21.839,0,1,0
2024-07-18 17:40:22.188,0,0,1
2024-07-18 17:40:41.111,0,1,0
2024-07-18 17:40:41.277,0,1,0
2024-07-18 17:40:41.497,0,1,0
2024-07-18 17:40:41.672,0,1,0
2024-07-18 17:40:41.879,0,1,0
2024-07-18 17:40:42.356,0,0,1
2024-07-18 17:40:42.518,0,0,1
2024-07-18 17:40:42.689,0,0,1
2024-07-18 17:40:42.852,0,0,1
2024-07-18 17:40:43.014,0,0,1
2024-07-18 17:40:43.383,1,0,0
2024-07-18 17:40:43.556,1,0,0
