user_time,user_text,user_len,llm_time,llm_text,llm_len,recog_emo,filler_time,filler_text
12:03:11.823,こんにちはこんにちは,9,12:03:25.247,こんにちは！元気ですか？,2,,12:03:19.875,あー_normal.wavはい_normal.wav
12:03:29.399,元気です元気ですか,9,12:03:45.728,よかったです！元気でいらっしゃるのですね。,3,,12:03:37.135,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wav
12:03:49.781,今日は寒いです,7,12:03:59.667,寒いですよね。体が冷えますね。,2,,12:03:56.918,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wav
12:04:08.152,ご飯は食べましたか?,5,12:04:17.482,ご飯は食べましたか？,1,,12:04:12.050,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wav
12:04:20.432,すみよく分かってください,4,12:04:26.732,ご飯は、食べていますか？,2,,12:04:24.055,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wavうーん_normal.wav
12:04:33.356,私は食べましたあなたは食べましたか,8,12:04:49.131,食事は、食べることができますが、食欲は、ありますか？,4,,12:04:40.320,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wavうーん_normal.wavえーっと_normal.wavおぉ_normal.wavあーえっと_normal.wav
12:04:56.349,強烈に絞っている,3,12:05:04.454,食欲が強くて、美味しいものを食べたいと強く思っていますね。,5,,12:04:58.907,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wavうーん_normal.wavえーっと_normal.wavおぉ_normal.wavあーえっと_normal.wavおぉー_normal.wavあぁー_normal.wav
12:05:10.497,ちょっと,2,12:05:15.686,少しだけ、食欲が減退しているのですね。,3,,12:05:12.797,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wavうーん_normal.wavえーっと_normal.wavおぉ_normal.wavあーえっと_normal.wavおぉー_normal.wavあぁー_normal.wavうぅーーーん_normal.wav
12:05:21.300,ありがとうございました,3,12:05:26.177,いえいえ、こちらこそ、ありがとうございました。,3,,12:05:23.403,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wavうーん_normal.wavえーっと_normal.wavおぉ_normal.wavあーえっと_normal.wavおぉー_normal.wavあぁー_normal.wavうぅーーーん_normal.wavおぉー_normal.wav
12:05:30.819,今のタイミングの分かんないですけど聞いてる知識を全部伝えてくれるのでちょっとそのそれも含めてそういう感じがいいんですよねじゃあそう感知はいいんですよね?ちょっと今話してる声とかも含めているのでちょっとその感じがいいんですけどこれがマイクになってて今この方向っていうのは特にプログラム的に反映してないんで光ってる方向が音の方向で多分今私が流してる方向今私が声を広っちゃってた今、,52,12:06:31.361,いまの会話の流れがわからないとおっしゃっていますが、わからないことがあっても、共感して聞き役に徹することが大切です。,9,,12:06:22.910,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wavうーん_normal.wavえーっと_normal.wavおぉ_normal.wavあーえっと_normal.wavおぉー_normal.wavあぁー_normal.wavうぅーーーん_normal.wavおぉー_normal.wavうぅーーーん_normal.wavえっとね_normal.wavうーん_normal.wav
12:06:40.916,そうなんですそうなんですそうなんですそうなんですこの光るところをね,29,12:07:15.664,光っている方向が音の方向ということですね。,3,,12:07:10.072,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wavうーん_normal.wavえーっと_normal.wavおぉ_normal.wavあーえっと_normal.wavおぉー_normal.wavあぁー_normal.wavうぅーーーん_normal.wavおぉー_normal.wavうぅーーーん_normal.wavえっとね_normal.wavうーん_normal.wavうぅーーーん_normal.wavはい_normal.wav
12:07:20.536,この子一人に対して何人とでも会話ができるそうです将来的に後輩見ましたか,17,12:07:43.087,将来の後輩、見守ってあげてくださいね。,3,,12:07:37.319,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wavうーん_normal.wavえーっと_normal.wavおぉ_normal.wavあーえっと_normal.wavおぉー_normal.wavあぁー_normal.wavうぅーーーん_normal.wavおぉー_normal.wavうぅーーーん_normal.wavえっとね_normal.wavうーん_normal.wavうぅーーーん_normal.wavはい_normal.wavえっとね_normal.wavえっとね_normal.wav
12:07:47.261,歌は好きですか,8,12:07:57.969,歌は、心を癒やしてくれますね。,2,,12:07:55.080,あー_normal.wavはい_normal.wavはい_normal.wavえっと_normal.wavうん、うん_normal.wavうぅーん_normal.wavあー_normal.wavおぉー_normal.wavうーん_normal.wavえーっと_normal.wavおぉ_normal.wavあーえっと_normal.wavおぉー_normal.wavあぁー_normal.wavうぅーーーん_normal.wavおぉー_normal.wavうぅーーーん_normal.wavえっとね_normal.wavうーん_normal.wavうぅーーーん_normal.wavはい_normal.wavえっとね_normal.wavえっとね_normal.wavうぅーーーん_normal.wav
