timestamp,beta_l_alpha_l,pnn50,emo,threshold_b_a,threshold_pnn
2024-07-14 19:16:29.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:30.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:31.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:32.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:33.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:34.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:35.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:36.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:37.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:38.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:39.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:40.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:41.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:42.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:43.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:44.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:45.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:46.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:47.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:48.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:49.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:50.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:51.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:52.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:53.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:54.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:55.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:56.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:57.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:58.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:16:59.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:00.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:01.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:02.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:03.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:04.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:05.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:06.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:07.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:08.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:09.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:10.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:11.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:12.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:13.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:14.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:15.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:16.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:17.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:18.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:19.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:20.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:21.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:22.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:23.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:24.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:25.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:26.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:27.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:28.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:29.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:30.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:31.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:32.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:33.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:34.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:35.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:36.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:37.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:38.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:39.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:40.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:41.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:42.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:43.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:44.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:45.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:46.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:47.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:48.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:49.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:50.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:51.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:52.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:53.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:54.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:55.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:56.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:57.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:58.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:17:59.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:00.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:01.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:02.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:03.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:04.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:05.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:06.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:07.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:08.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:09.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:10.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:11.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:12.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:13.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:14.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:15.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:16.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:17.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:18.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:19.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:20.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:21.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:22.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:23.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:24.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:25.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:26.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:27.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:28.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:29.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:30.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:31.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:32.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:33.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:34.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:35.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:36.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:37.281,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:38.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:39.280,0,0.0,Rest,-1.0,-1.0
2024-07-14 19:18:40.280,0,0.0,Rest,-1.0,-1.0
